23:57:08.882 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:57:41.979 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23:57:42.173 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8080]
23:57:42.603 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
23:57:43.027 [restartedMain] INFO  com.gadeksystems.banking.Application - Started Application in 59.639 seconds (JVM running for 62.661)
00:01:37.611 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
00:07:07.706 [restartedMain] INFO  com.gadeksystems.banking.Application - Starting Application on DESKTOP-AAPORDU with PID 11816 (D:\Spring-Boot-Apps\United_Microfinance-Gad\target\classes started by Nyame Tease in D:\Spring-Boot-Apps\United_Microfinance-Gad)
00:07:07.716 [restartedMain] INFO  com.gadeksystems.banking.Application - No active profile set, falling back to default profiles: default
00:07:20.434 [restartedMain] INFO  c.hazelcast.config.XmlConfigLocator - Loading 'hazelcast.xml' from classpath.
00:07:20.705 [restartedMain] WARN  c.h.config.AbstractXmlConfigHelper - Name of the hazelcast schema location incorrect using default
00:07:21.514 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Prefer IPv4 stack is true.
00:07:21.746 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Picked Address[192.168.137.32]:5701, using socket ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=5701], bind any local is true
00:07:21.797 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Hazelcast 3.6.7 (20161208 - 3eec5a1) starting at Address[192.168.137.32]:5701
00:07:21.798 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Copyright (c) 2008-2016, Hazelcast, Inc. All Rights Reserved.
00:07:21.798 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Configured Hazelcast Serialization version : 1
00:07:22.577 [restartedMain] INFO  com.hazelcast.spi.OperationService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Backpressure is disabled
